                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.2239,                0.62506,                0.93716,                0.93072,                 0.9878,                0.98673,                0.53826,                 1.5029,                0.71969,                 1.0226,              0.0008648,              0.0008648,              0.0008648
                     45,                 1.2055,                0.62987,                0.96376,                0.94011,                0.95714,                0.98562,                0.55626,                 1.4544,                0.73387,                  1.016,              0.0008384,              0.0008384,              0.0008384
                     46,                 1.1252,                0.61365,                0.93448,                0.91493,                0.92683,                0.97355,                0.53763,                  1.487,                0.72625,                 1.0306,               0.000812,               0.000812,               0.000812
                     47,                 1.1994,                0.61711,                0.95679,                0.92426,                0.89293,                 0.9733,                0.52367,                 1.5175,                0.74827,                 1.0634,              0.0007856,              0.0007856,              0.0007856
                     48,                 1.2192,                0.63167,                0.93907,                 0.9227,                0.90244,                0.97194,                0.52583,                 1.4713,                 0.7185,                 1.0705,              0.0007592,              0.0007592,              0.0007592
                     49,                 1.1547,                 0.6148,                0.92904,                0.96086,                 0.8982,                0.98205,                0.56607,                 1.4161,                0.68167,                 1.0491,              0.0007328,              0.0007328,              0.0007328
                     50,                 1.1324,                  0.612,                0.93043,                0.90358,                0.95122,                0.96629,                0.55308,                 1.4795,                0.69352,                 1.0314,              0.0007064,              0.0007064,              0.0007064
                     51,                  1.127,                0.59756,                0.93265,                 0.9307,                0.98279,                0.98588,                0.58304,                 1.3668,                0.66738,                 1.0251,                0.00068,                0.00068,                0.00068
                     52,                 1.1168,                0.58284,                0.93293,                0.95826,                0.93902,                0.98812,                0.60865,                 1.2542,                 0.6413,                 1.0039,              0.0006536,              0.0006536,              0.0006536
                     53,                 1.1083,                0.58347,                0.93769,                0.95109,                0.94868,                0.98595,                0.60117,                 1.2763,                0.67189,                 1.0181,              0.0006272,              0.0006272,              0.0006272
                     54,                 1.1323,                0.59542,                0.92203,                0.93898,                0.93838,                 0.9817,                0.58546,                 1.3712,                 0.7018,                 1.0412,              0.0006008,              0.0006008,              0.0006008
                     55,                 1.0711,                0.57705,                0.92268,                0.93696,                0.92683,                0.97346,                0.52919,                 1.5139,                0.71257,                 1.0264,              0.0005744,              0.0005744,              0.0005744
                     56,                 1.0566,                0.56119,                0.93732,                 0.9278,                0.96341,                0.97168,                0.52712,                 1.5509,                0.69203,                 1.0073,               0.000548,               0.000548,               0.000548
                     57,                 1.1207,                0.57074,                0.89909,                0.93021,                0.97534,                0.96714,                0.53686,                 1.5231,                 0.6725,                0.99984,              0.0005216,              0.0005216,              0.0005216
                     58,                 1.1636,                0.58519,                 0.9273,                 0.9397,                0.95025,                0.95878,                0.57265,                 1.3737,                0.64423,                0.99216,              0.0004952,              0.0004952,              0.0004952
