                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.59859,                0.35731,                0.81834,                0.82874,                0.80688,                0.84274,                0.69166,                0.61847,                0.41761,                0.81843,              0.0004357,              0.0004357,              0.0004357
                     59,                0.59555,                0.35623,                  0.822,                0.84548,                0.79597,                0.82255,                0.66923,                0.61794,                0.42893,                0.81543,              0.0004258,              0.0004258,              0.0004258
                     60,                0.60552,                0.36217,                0.82097,                0.86448,                0.75591,                0.82026,                0.65765,                0.64283,                0.44155,                0.81892,              0.0004159,              0.0004159,              0.0004159
                     61,                0.59625,                0.35075,                 0.8185,                0.73583,                0.81326,                0.81783,                0.65979,                 0.6154,                0.43754,                0.81532,               0.000406,               0.000406,               0.000406
                     62,                0.56995,                0.34222,                0.81536,                0.81409,                0.80954,                0.80999,                0.66267,                0.60891,                0.43375,                0.81484,              0.0003961,              0.0003961,              0.0003961
                     63,                0.58871,                0.34946,                0.81897,                0.76661,                0.81523,                0.78889,                0.63597,                0.62571,                0.43801,                0.81634,              0.0003862,              0.0003862,              0.0003862
                     64,                0.57569,                0.34378,                0.81742,                0.80492,                0.73145,                0.76175,                0.61625,                0.63167,                0.44031,                0.81927,              0.0003763,              0.0003763,              0.0003763
                     65,                0.57534,                0.33952,                 0.8172,                0.78939,                0.73455,                0.77224,                0.62666,                0.61829,                0.45497,                 0.8165,              0.0003664,              0.0003664,              0.0003664
                     66,                 0.5798,                 0.3366,                0.81938,                0.78555,                0.80369,                 0.7898,                0.63628,                0.61856,                0.45898,                0.81606,              0.0003565,              0.0003565,              0.0003565
                     67,                0.57802,                0.35072,                0.81948,                0.84927,                0.79594,                0.82112,                0.65835,                0.62266,                0.43659,                0.81837,              0.0003466,              0.0003466,              0.0003466
                     68,                0.57905,                0.34342,                 0.8184,                0.79892,                0.77206,                0.79106,                 0.6406,                0.62212,                0.42122,                 0.8183,              0.0003367,              0.0003367,              0.0003367
                     69,                0.57028,                0.33634,                0.81712,                0.79696,                0.75602,                0.81553,                0.66801,                0.60928,                 0.4218,                0.81378,              0.0003268,              0.0003268,              0.0003268
                     70,                0.56782,                0.33108,                0.81509,                0.76139,                0.79319,                0.79676,                 0.6457,                0.61192,                0.42259,                0.81358,              0.0003169,              0.0003169,              0.0003169
                     71,                0.56247,                0.32852,                0.81316,                 0.8053,                0.76798,                0.80553,                0.65784,                0.62529,                0.42042,                0.81855,               0.000307,               0.000307,               0.000307
                     72,                0.55908,                0.32618,                 0.8147,                0.82747,                0.79973,                 0.8179,                0.67575,                0.61531,                0.41009,                0.81555,              0.0002971,              0.0002971,              0.0002971
                     73,                0.56602,                0.33007,                0.81464,                0.80187,                0.79543,                0.78933,                0.64148,                0.61503,                0.41511,                0.81625,              0.0002872,              0.0002872,              0.0002872
                     74,                0.54517,                0.31342,                0.80961,                0.76603,                0.80473,                 0.7989,                0.64955,                0.61105,                0.41645,                0.81755,              0.0002773,              0.0002773,              0.0002773
                     75,                0.55138,                 0.3205,                0.81494,                0.75034,                0.81819,                 0.8069,                0.65478,                0.61131,                0.40599,                0.81592,              0.0002674,              0.0002674,              0.0002674
                     76,                0.55558,                0.32163,                0.81145,                0.76502,                0.80125,                0.80326,                0.65914,                0.61693,                0.40748,                 0.8162,              0.0002575,              0.0002575,              0.0002575
                     77,                0.55706,                0.32008,                0.80978,                0.81444,                0.76121,                0.80701,                0.66039,                0.61905,                0.40648,                0.81637,              0.0002476,              0.0002476,              0.0002476
                     78,                0.54598,                0.31418,                0.81126,                0.87572,                0.78495,                0.82796,                  0.683,                0.60172,                0.39713,                0.81335,              0.0002377,              0.0002377,              0.0002377
                     79,                0.55187,                0.30924,                0.81078,                0.77399,                0.78954,                0.79765,                0.65086,                0.61553,                0.41212,                0.81618,              0.0002278,              0.0002278,              0.0002278
                     80,                0.54056,                0.30551,                0.81323,                0.82355,                0.78515,                0.80286,                  0.655,                0.61084,                0.42178,                0.81462,              0.0002179,              0.0002179,              0.0002179
                     81,                0.54164,                0.31453,                 0.8151,                0.79853,                0.79875,                0.80797,                0.66017,                0.60551,                0.40383,                 0.8141,               0.000208,               0.000208,               0.000208
                     82,                0.54303,                0.30773,                0.81475,                0.79471,                0.81455,                0.79919,                0.65168,                0.61014,                0.40967,                0.81449,              0.0001981,              0.0001981,              0.0001981
                     83,                0.54343,                0.31222,                0.81053,                0.78281,                 0.7809,                0.79058,                0.64891,                0.61312,                0.41794,                0.81648,              0.0001882,              0.0001882,              0.0001882
                     84,                0.53218,                0.29886,                0.80775,                0.77175,                 0.7821,                 0.7899,                0.64378,                0.60879,                0.40684,                0.81625,              0.0001783,              0.0001783,              0.0001783
                     85,                0.53749,                0.30518,                0.81128,                0.75651,                0.79305,                0.77603,                0.63648,                 0.6025,                0.41571,                0.81333,              0.0001684,              0.0001684,              0.0001684
                     86,                 0.5174,                0.29637,                 0.8045,                0.80538,                0.78238,                0.78895,                0.64568,                0.60786,                 0.4022,                0.81648,              0.0001585,              0.0001585,              0.0001585
                     87,                0.52608,                0.29253,                0.80521,                0.82648,                0.77557,                0.80639,                0.65619,                0.61661,                 0.4119,                 0.8193,              0.0001486,              0.0001486,              0.0001486
                     88,                 0.5191,                 0.2911,                0.80623,                0.82812,                0.77199,                0.80689,                0.66271,                0.60918,                0.40885,                0.81725,              0.0001387,              0.0001387,              0.0001387
                     89,                0.53173,                0.29306,                0.81142,                0.82755,                0.80814,                0.80671,                0.65732,                0.60356,                0.40219,                0.81687,              0.0001288,              0.0001288,              0.0001288
